779, 166, 78, 33, 19, 16, 14, 8, 16, 7, 3, 6, 7, 5, 9, 6, 5, 7, 3, 6, 0, 1, 2, 5, 2, 2, 3, 4, 7, 4, 1, 3, 0, 3, 2, 2, 1, 2, 3, 2, 1, 2, 2, 1, 2, 3, 0, 0, 4, 4, 0, 2, 1, 3, 2, 2, 0, 1, 2, 1, 2, 2, 0, 1, 2, 1, 1, 3, 1, 1, 2, 1, 1, 0, 1, 2, 0, 1, 0, 2, 1, 141, 16, 15, 10, 10, 12, 12, 10, 6, 11, 9, 3, 1, 4, 7, 5, 5, 4, 3
783, 165, 75, 32, 18, 12, 13, 8, 17, 4, 5, 7, 6, 5, 8, 9, 8, 7, 2, 6, 1, 2, 1, 8, 1, 3, 4, 7, 5, 3, 3, 1, 1, 2, 1, 2, 2, 1, 0, 2, 2, 3, 3, 1, 0, 2, 1, 0, 1, 0, 3, 1, 0, 2, 2, 2, 1, 3, 2, 1, 0, 0, 1, 1, 2, 2, 2, 3, 2, 3, 2, 0, 2, 0, 3, 3, 1, 2, 0, 3, 0, 140, 15, 14, 13, 10, 9, 12, 10, 6, 10, 11, 6, 1, 2, 6, 6, 7, 5, 3
549, 172, 48, 25, 31, 16, 12, 10, 6, 9, 9, 4, 9, 5, 5, 4, 2, 6, 4, 6, 2, 6, 2, 6, 4, 3, 2, 2, 4, 3, 1, 3, 3, 1, 2, 4, 1, 4, 7, 3, 4, 2, 2, 2, 1, 6, 2, 0, 3, 5, 0, 1, 5, 2, 1, 2, 1, 2, 5, 1, 1, 1, 2, 1, 0, 3, 3, 3, 0, 0, 1, 213, 35, 26, 17, 12, 14, 7, 5, 3, 5, 11, 8, 6, 2, 4, 0, 3, 4, 5, 5, 4, 4, 6, 5, 5, 3, 2, 2, 3
556, 166, 48, 23, 29, 15, 12, 10, 4, 8, 7, 4, 7, 6, 5, 4, 3, 6, 3, 6, 4, 6, 4, 3, 3, 6, 2, 3, 3, 1, 2, 5, 8, 2, 3, 4, 0, 5, 7, 3, 5, 3, 3, 3, 4, 8, 2, 0, 3, 7, 1, 0, 3, 2, 3, 1, 1, 1, 4, 0, 0, 0, 3, 1, 0, 1, 3, 1, 3, 1, 3, 211, 32, 27, 19, 9, 16, 8, 3, 4, 9, 10, 4, 10, 4, 4, 5, 3, 2, 4, 2, 2, 3, 4, 6, 4, 2, 1, 2, 1
610, 185, 73, 38, 19, 17, 10, 8, 4, 5, 5, 8, 8, 8, 4, 1, 5, 3, 4, 5, 5, 3, 5, 4, 2, 5, 2, 4, 1, 4, 2, 2, 3, 4, 1, 2, 0, 3, 1, 1, 1, 1, 0, 1, 3, 1, 4, 3, 2, 2, 4, 1, 0, 2, 1, 2, 0, 0, 0, 0, 0, 1, 2, 2, 1, 0, 0, 2, 0, 1, 0, 1, 1, 0, 1, 1, 187, 23, 26, 17, 14, 7, 10, 8, 9, 7, 12, 8, 3, 3, 5, 2, 4, 3, 7, 2, 2, 6, 1, 3
615, 185, 72, 42, 20, 16, 10, 10, 5, 7, 3, 7, 8, 9, 4, 2, 3, 3, 5, 7, 4, 3, 4, 4, 3, 7, 1, 5, 1, 3, 3, 0, 2, 0, 3, 1, 0, 2, 1, 1, 1, 2, 0, 2, 5, 2, 2, 1, 2, 2, 4, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 2, 2, 0, 1, 0, 0, 0, 1, 2, 1, 0, 1, 1, 0, 187, 21, 24, 16, 12, 8, 8, 10, 10, 6, 6, 9, 3, 5, 5, 3, 3, 3, 6, 3, 3, 7, 1, 4
756, 146, 59, 38, 28, 13, 14, 11, 9, 8, 10, 15, 7, 4, 2, 5, 7, 2, 5, 4, 3, 7, 1, 4, 1, 7, 7, 1, 4, 1, 1, 2, 3, 1, 3, 4, 2, 1, 1, 2, 1, 2, 2, 2, 1, 1, 1, 1, 4, 4, 2, 0, 1, 2, 3, 2, 2, 1, 1, 1, 2, 1, 0, 3, 0, 2, 0, 1, 2, 2, 0, 0, 1, 1, 0, 1, 0, 0, 2, 2, 1, 1, 0, 140, 28, 13, 11, 9, 5, 7, 1, 3, 4, 1, 4, 5, 5, 1, 5, 6
763, 148, 58, 37, 27, 13, 12, 10, 11, 9, 9, 15, 8, 4, 3, 6, 10, 5, 5, 5, 2, 7, 4, 7, 1, 4, 2, 2, 1, 0, 2, 1, 1, 2, 2, 4, 2, 1, 1, 3, 0, 2, 2, 1, 0, 3, 1, 2, 2, 3, 3, 2, 0, 0, 4, 1, 1, 0, 1, 2, 0, 1, 2, 4, 0, 0, 0, 2, 1, 3, 0, 0, 0, 0, 1, 1, 1, 0, 3, 0, 0, 0, 1, 140, 25, 13, 11, 11, 4, 5, 1, 5, 6, 1, 3, 4, 3, 2, 8, 6
667, 134, 64, 30, 17, 13, 12, 16, 7, 7, 4, 4, 5, 8, 2, 7, 6, 3, 7, 7, 1, 9, 2, 3, 3, 3, 2, 1, 1, 3, 2, 3, 10, 1, 4, 1, 3, 4, 4, 2, 4, 2, 3, 2, 5, 0, 1, 1, 3, 5, 1, 2, 3, 3, 3, 1, 4, 4, 1, 1, 0, 1, 0, 0, 3, 1, 0, 0, 1, 2, 1, 0, 1, 0, 2, 1, 1, 3, 151, 19, 19, 10, 12, 9, 19, 12, 13, 9, 3, 2, 6, 7, 3, 7, 5, 2, 5, 8, 3, 2
664, 133, 67, 31, 17, 13, 11, 17, 9, 7, 5, 3, 4, 7, 4, 7, 5, 4, 5, 9, 3, 7, 0, 4, 2, 4, 2, 3, 0, 3, 3, 3, 7, 3, 2, 2, 2, 5, 4, 0, 3, 2, 4, 4, 2, 1, 2, 1, 2, 4, 1, 3, 4, 2, 0, 0, 1, 5, 0, 1, 2, 2, 0, 2, 3, 1, 0, 0, 2, 1, 1, 0, 3, 0, 3, 0, 2, 2, 154, 23, 19, 8, 9, 12, 15, 8, 11, 8, 5, 2, 3, 7, 4, 7, 9, 2, 6, 6, 3, 2
628, 148, 53, 24, 14, 17, 11, 14, 14, 14, 6, 8, 6, 7, 7, 4, 4, 2, 6, 1, 4, 4, 4, 5, 2, 2, 1, 2, 4, 6, 1, 3, 1, 0, 2, 0, 3, 0, 1, 0, 0, 1, 1, 3, 2, 0, 0, 0, 1, 2, 0, 3, 1, 1, 3, 2, 0, 1, 1, 1, 0, 1, 2, 3, 0, 1, 2, 0, 1, 5, 1, 2, 246, 25, 24, 23, 10, 16, 12, 8, 7, 9, 9, 5, 6, 5, 5, 8, 2, 7, 2, 8, 2, 2, 3, 3, 5, 3, 1, 5
633, 151, 51, 25, 13, 16, 13, 14, 12, 15, 5, 11, 7, 6, 2, 5, 3, 4, 6, 4, 4, 3, 6, 3, 0, 4, 1, 0, 5, 3, 0, 4, 1, 1, 2, 1, 3, 1, 0, 3, 0, 0, 2, 1, 2, 2, 0, 1, 2, 0, 1, 3, 1, 0, 1, 3, 0, 1, 2, 1, 0, 1, 0, 4, 1, 1, 5, 0, 2, 2, 1, 2, 242, 25, 24, 20, 7, 17, 10, 10, 4, 11, 10, 4, 3, 5, 4, 7, 2, 8, 3, 7, 4, 4, 0, 4, 7, 4, 0, 5
687, 127, 50, 28, 15, 15, 12, 12, 5, 5, 5, 8, 4, 4, 8, 4, 4, 2, 5, 6, 1, 4, 4, 3, 3, 2, 4, 2, 3, 3, 1, 1, 5, 4, 0, 3, 0, 0, 4, 3, 4, 2, 2, 3, 3, 2, 2, 2, 2, 0, 2, 4, 3, 4, 4, 1, 1, 0, 0, 1, 1, 0, 1, 1, 2, 1, 1, 0, 0, 1, 1, 1, 2, 2, 2, 0, 1, 176, 25, 18, 9, 9, 12, 8, 9, 6, 7, 7, 6, 3, 7, 6, 6, 5, 6, 6, 3, 7, 1, 12
692, 127, 45, 27, 17, 15, 11, 12, 5, 6, 4, 9, 6, 5, 11, 5, 3, 3, 4, 2, 0, 5, 5, 3, 0, 3, 2, 1, 1, 4, 2, 5, 2, 4, 0, 2, 2, 1, 6, 1, 4, 2, 2, 2, 2, 2, 1, 4, 1, 2, 3, 2, 1, 1, 2, 1, 2, 1, 3, 0, 0, 0, 2, 1, 0, 1, 1, 0, 1, 1, 2, 2, 2, 1, 0, 2, 1, 177, 27, 19, 11, 9, 11, 9, 10, 6, 7, 8, 8, 1, 6, 4, 6, 6, 7, 6, 3, 4, 3, 10
673, 152, 67, 28, 13, 15, 6, 12, 6, 5, 6, 7, 5, 4, 5, 4, 6, 4, 6, 4, 1, 2, 8, 4, 4, 5, 2, 4, 3, 2, 3, 6, 3, 2, 4, 2, 3, 0, 3, 2, 4, 1, 2, 2, 2, 0, 1, 0, 1, 3, 0, 1, 1, 1, 2, 0, 0, 5, 0, 1, 2, 0, 3, 0, 1, 1, 1, 2, 3, 1, 0, 0, 1, 1, 5, 0, 171, 28, 27, 17, 12, 15, 10, 9, 9, 3, 6, 7, 4, 5, 4, 6, 4, 5, 2, 6, 4, 2, 4, 1
682, 152, 66, 28, 14, 14, 5, 11, 6, 5, 7, 9, 3, 1, 2, 3, 6, 6, 4, 5, 4, 6, 7, 4, 3, 4, 3, 2, 5, 3, 3, 4, 5, 5, 6, 2, 2, 3, 4, 0, 2, 1, 3, 2, 2, 0, 2, 1, 1, 1, 0, 4, 0, 1, 3, 0, 2, 3, 1, 0, 0, 0, 1, 0, 3, 1, 3, 2, 0, 2, 0, 1, 1, 0, 1, 1, 163, 29, 30, 13, 9, 15, 9, 12, 6, 3, 8, 5, 7, 4, 5, 5, 5, 4, 4, 5, 3, 3, 2, 1
550, 164, 54, 18, 18, 7, 13, 12, 10, 7, 7, 8, 4, 4, 6, 8, 11, 6, 6, 7, 6, 5, 7, 5, 2, 2, 2, 3, 4, 1, 4, 2, 5, 1, 1, 0, 1, 2, 7, 1, 4, 1, 3, 3, 3, 1, 1, 1, 2, 0, 2, 1, 3, 0, 0, 1, 2, 2, 2, 1, 3, 0, 1, 0, 0, 0, 1, 0, 2, 0, 0, 2, 1, 238, 37, 16, 16, 14, 14, 14, 6, 12, 8, 9, 7, 3, 7, 3, 4, 1, 1, 3, 1, 1, 5, 1, 2, 1, 1, 3
555, 163, 53, 17, 19, 7, 15, 10, 13, 6, 8, 7, 4, 2, 5, 6, 10, 6, 4, 5, 8, 4, 5, 5, 5, 3, 1, 4, 5, 0, 3, 4, 2, 2, 3, 0, 2, 2, 3, 2, 3, 1, 2, 3, 4, 2, 1, 1, 3, 1, 0, 1, 2, 1, 0, 1, 2, 0, 3, 3, 1, 2, 3, 2, 0, 1, 4, 1, 0, 0, 0, 2, 2, 232, 36, 15, 16, 13, 14, 15, 7, 11, 7, 7, 5, 5, 6, 4, 5, 3, 3, 0, 3, 2, 2, 3, 2, 0, 4, 4
618, 139, 61, 29, 22, 16, 16, 3, 10, 8, 7, 8, 7, 9, 6, 6, 2, 5, 6, 3, 8, 7, 4, 3, 3, 5, 4, 4, 2, 2, 3, 2, 0, 1, 1, 3, 1, 2, 0, 1, 5, 1, 1, 3, 3, 6, 3, 1, 2, 2, 4, 3, 1, 3, 2, 1, 0, 0, 1, 2, 0, 1, 1, 3, 1, 0, 0, 0, 1, 0, 0, 1, 2, 1, 192, 25, 16, 14, 14, 9, 8, 6, 11, 7, 4, 5, 6, 4, 9, 1, 4, 3, 6, 6, 4, 4, 3, 4, 1, 7
616, 138, 62, 28, 22, 17, 15, 3, 9, 8, 10, 8, 7, 8, 6, 7, 3, 5, 8, 6, 5, 4, 3, 4, 4, 5, 5, 4, 2, 2, 3, 2, 2, 2, 3, 2, 3, 2, 3, 4, 1, 2, 1, 2, 0, 3, 2, 2, 2, 3, 2, 4, 1, 2, 0, 1, 2, 1, 0, 1, 0, 0, 2, 2, 1, 1, 3, 1, 1, 2, 0, 2, 0, 0, 190, 23, 17, 15, 14, 8, 8, 8, 10, 6, 3, 5, 3, 4, 8, 3, 6, 5, 8, 6, 4, 3, 3, 3, 2, 5
